ID;ACCESSION;DEFINITION;VERSION;REFERENCE;ORGANISM;AUTHORS;TITLE;Assembly Method;Sequencing Technology;Location/Qualifiers;mol_type;strain;host;geo_loc_name;collection_date;Date_Soumission
GU131226.1;"GU131226
";"Human enterovirus 109 isolate 1578 viral protein 1 gene, partial
";"GU131226.1
";"1  (bases 1 to 888)
";"Enterovirus C109
";"Yozwiak,N.L., Skewes-Cox,P., Gordon,A., Saborio,S., Kuan,G.,
";"Human enterovirus 109: a novel interspecies recombinant enterovirus
";NA;NA;"         1..888
";"""genomic RNA""";NA;"""Homo sapiens""";"""Nicaragua""";"""Apr-2008""";"25-JUL-2016
"
GU131225.1;"GU131225
";"Human enterovirus 109 isolate 4323 viral protein 1 gene, partial
";"GU131225.1
";"1  (bases 1 to 888)
";"Enterovirus C109
";"Yozwiak,N.L., Skewes-Cox,P., Gordon,A., Saborio,S., Kuan,G.,
";"Human enterovirus 109: a novel interspecies recombinant enterovirus
";NA;NA;"         1..888
";"""genomic RNA""";NA;"""Homo sapiens""";"""Nicaragua""";"""Jan-2008""";"25-JUL-2016
"
GU131224.1;"GU131224
";"Human enterovirus 109 isolate 2751 viral protein 1 gene, partial
";"GU131224.1
";"1  (bases 1 to 888)
";"Enterovirus C109
";"Yozwiak,N.L., Skewes-Cox,P., Gordon,A., Saborio,S., Kuan,G.,
";"Human enterovirus 109: a novel interspecies recombinant enterovirus
";NA;NA;"         1..888
";"""genomic RNA""";NA;"""Homo sapiens""";"""Nicaragua""";"""Apr-2008""";"25-JUL-2016
"
JX173883.1;"JX173883
";"Human enterovirus 104 strain MI1768 VP1 gene, partial cds.
";"JX173883.1
";"1  (bases 1 to 888)
";"Enterovirus C104
";"Piralla,A., Fiorina,L., Daleno,C., Esposito,S. and Baldanti,F.
";"Complete genome characterization of enterovirus 104 circulating in
";NA;NA;"         1..888
";"""genomic RNA""";"""MI1768""";"""Homo sapiens""";"""Italy""";"""Mar-2009""";"09-JUL-2014
"
JX173882.1;"JX173882
";"Human enterovirus 104 strain MI1276 VP1 gene, partial cds.
";"JX173882.1
";"1  (bases 1 to 888)
";"Enterovirus C104
";"Piralla,A., Fiorina,L., Daleno,C., Esposito,S. and Baldanti,F.
";"Complete genome characterization of enterovirus 104 circulating in
";NA;NA;"         1..888
";"""genomic RNA""";"""MI1276""";"""Homo sapiens""";"""Italy""";"""Feb-2009""";"09-JUL-2014
"
JX173881.1;"JX173881
";"Human enterovirus 104 strain PD444 VP1 gene, partial cds.
";"JX173881.1
";"1  (bases 1 to 888)
";"Enterovirus C104
";"Piralla,A., Fiorina,L., Daleno,C., Esposito,S. and Baldanti,F.
";"Complete genome characterization of enterovirus 104 circulating in
";NA;NA;"         1..888
";"""genomic RNA""";"""PD444""";"""Homo sapiens""";"""Italy""";"""Mar-2009""";"09-JUL-2014
"
JX173880.1;"JX173880
";"Human enterovirus 104 strain MI560 VP1 gene, partial cds.
";"JX173880.1
";"1  (bases 1 to 888)
";"Enterovirus C104
";"Piralla,A., Fiorina,L., Daleno,C., Esposito,S. and Baldanti,F.
";"Complete genome characterization of enterovirus 104 circulating in
";NA;NA;"         1..888
";"""genomic RNA""";"""MI560""";"""Homo sapiens""";"""Italy""";"""Dec-2009""";"09-JUL-2014
"
JX173879.1;"JX173879
";"Human enterovirus 104 strain MI46 VP1 gene, partial cds.
";"JX173879.1
";"1  (bases 1 to 888)
";"Enterovirus C104
";"Piralla,A., Fiorina,L., Daleno,C., Esposito,S. and Baldanti,F.
";"Complete genome characterization of enterovirus 104 circulating in
";NA;NA;"         1..888
";"""genomic RNA""";"""MI46""";"""Homo sapiens""";"""Italy""";"""Mar-2009""";"09-JUL-2014
"
GQ865517.1;"GQ865517
";"Human enterovirus 109 isolate NICA08-4327, complete genome.
";"GQ865517.1
";"1  (bases 1 to 7354)
";"Enterovirus C109
";"Yozwiak,N.L., Skewes-Cox,P., Gordon,A., Saborio,S., Kuan,G.,
";"Human enterovirus 109: a novel interspecies recombinant enterovirus
";NA;NA;"         1..7354
";"""genomic RNA""";NA;"""Homo sapiens""";"""Nicaragua""";"""23-Feb-2008""";"31-AUG-2010
"
MZ825288.1;"MZ825288
";"Enterovirus C99 isolate NL8142 VP1 protein gene, partial cds.
";"MZ825288.1
";"1  (bases 1 to 381)
";"Enterovirus C99
";"Janse van Rensburg,M., Mans,J., Mafuyeka,R., MyBurgh,M.,
";"Diversity of enteroviruses from cerebrospinal fluid specimens
";NA;"Sanger dideoxy sequencing
";"         1..381
";"""genomic RNA""";NA;"""Homo sapiens""";"""South Africa""";"""2019""";"05-AUG-2023
"
KC344834.1;"KC344834
";"Enterovirus C113 isolate BBD-83 polyprotein gene, complete cds.
";"KC344834.1
";"1  (bases 1 to 7335)
";"Enterovirus C113
";"Tokarz,R., Haq,S., Sameroff,S., Howie,S.R. and Lipkin,W.I.
";"Genomic analysis of coxsackieviruses A1, A19, A22, enteroviruses
";"MEGA v. 5
";"Sanger dideoxy sequencing
";"         1..7335
";"""genomic RNA""";NA;"""Homo sapiens""";"""Bangladesh""";"""2009""";"15-OCT-2021
"
MK086491.1;"MK086491
";"Enterovirus C105 isolate EV-C105_WWTP_OTU_1831 VP1 gene, partial
";"MK086491.1
";"1  (bases 1 to 322)
";"Enterovirus C105
";"Bisseux,M., Henquell,C. and Debroas,D.
";"Monitoring of enterovirus diversity by deep sequencing in
";"PANAM v. 1
";"Illumina
";"         1..322
";"""genomic RNA""";NA;NA;"""France: Clermont-Ferrand""";"""2014/2015""";"12-JUN-2019
"
MK089787.1;"MK089787
";"UNVERIFIED: Enterovirus C117 isolate CQ6747, complete genome.
";"MK089787.1
";"1  (bases 1 to 7364)
";"enterovirus C117
";"Du,J., Zhu,T., Zhuang,L., Zhang,P.H., Zhang,X.A., Lu,Q.B. and
";"Identification and complete genome characterization of human
";"DNAstar v. 7
";"Sanger dideoxy sequencing
";"         1..7364
";"""genomic RNA""";NA;"""Homo sapiens""";"""China""";"""11-Jun-2014""";"09-APR-2019
"
MH084341.1;"MH084341
";"Enterovirus C113 isolate Env_PAK_Jan15-C113 capsid protein gene,
";"MH084341.1
";"1  (bases 1 to 893)
";"Enterovirus C113
";"Majumdar,M., Sharif,S., Klapsa,D., Wilton,T., Alam,M.M.,
";"Environmental Surveillance Reveals Complex Enterovirus Circulation
";NA;"Sanger dideoxy sequencing
";"         1..893
";"""genomic RNA""";NA;NA;"""Pakistan""";"""Jan-2015""";"21-NOV-2018
"
MH084340.1;"MH084340
";"Enterovirus C102 isolate Env_PAK_Jan15-C102 capsid protein gene,
";"MH084340.1
";"1  (bases 1 to 1194)
";"enterovirus C102
";"Majumdar,M., Sharif,S., Klapsa,D., Wilton,T., Alam,M.M.,
";"Environmental Surveillance Reveals Complex Enterovirus Circulation
";NA;"Sanger dideoxy sequencing
";"         1..1194
";"""genomic RNA""";NA;NA;"""Pakistan""";"""Jan-2015""";"21-NOV-2018
"
KT946713.1;"KT946713
";"Enterovirus C99 strain K292/YN/CHN/2013, complete genome.
";"KT946713.1
";"1  (bases 1 to 7453)
";"Enterovirus C99
";"Ma,S.
";"Complete genome sequence analysis of a human enterovirus C99 strain
";NA;"Sanger dideoxy sequencing
";"         1..7453
";"""genomic RNA""";"""K292/YN/CHN/2013""";"""Homo sapiens""";"""China""";"""05-May-2013""";"01-OCT-2018
"
MH361026.1;"MH361026
";"Enterovirus C109 isolate SCO_SWG_2015_Enterovirus_C109 polyprotein
";"MH361026.1
";"1  (bases 1 to 3828)
";"Enterovirus C109
";"Majumdar,M. and Martin,J.
";"Identification by next generation sequencing analysis of
";"Geneious v. R10
";"Illumina
";"         1..3828
";"""genomic RNA""";NA;NA;"""United Kingdom""";"""Nov-2015""";"18-AUG-2018
"
KY866627.1;"KY866627
";"Enterovirus C99 isolate 3101500044HT_2015_Ter_Apel capsid protein
";"KY866627.1
";"1  (bases 1 to 286)
";"Enterovirus C99
";"Benschop,K.S.M., van der Avoort,H.G., Jusic,E., Vennema,H., van
";"Polio and measles down the drain: Environmental Enterovirus
";NA;"Sanger dideoxy sequencing
";"         1..286
";"""genomic RNA""";NA;"""Homo sapiens""";"""Netherlands""";"""2015""";"03-AUG-2017
"
KY866117.1;"KY866117
";"Enterovirus C99 isolate 3101400198RD_2014_EEVS capsid protein VP1
";"KY866117.1
";"1  (bases 1 to 286)
";"Enterovirus C99
";"Benschop,K.S.M., van der Avoort,H.G., Jusic,E., Vennema,H., van
";"Polio and measles down the drain: Environmental Enterovirus
";NA;"Sanger dideoxy sequencing
";"         1..286
";"""genomic RNA""";NA;"""Homo sapiens""";"""Netherlands""";"""2014""";"03-AUG-2017
"
KY866028.1;"KY866028
";"Enterovirus C99 isolate 3101400047_2014_CEVS capsid protein VP1
";"KY866028.1
";"1  (bases 1 to 286)
";"Enterovirus C99
";"Benschop,K.S.M., van der Avoort,H.G., Jusic,E., Vennema,H., van
";"Polio and measles down the drain: Environmental Enterovirus
";NA;"Sanger dideoxy sequencing
";"         1..286
";"""genomic RNA""";NA;"""Homo sapiens""";"""Netherlands""";"""2014""";"03-AUG-2017
"
HQ538459.1;"HQ538459
";"Human enterovirus 96 isolate mh-203 VP1 capsid protein-like gene,
";"HQ538459.1
";"1  (bases 1 to 367)
";"Enterovirus C96
";"Ding,Z.R., Tang,J.J., Tian,B.J., Zhang,J., Li,L.Q., Zhao,Z.X. and
";"[Status of enterovirus infection and molecular identification among
";NA;NA;"         1..367
";"""genomic RNA""";NA;"""Homo sapiens""";"""China: Yunnan""";"""2010""";"25-JUL-2016
"
HQ538458.1;"HQ538458
";"Human enterovirus 96 isolate mh-193 VP1 capsid protein gene,
";"HQ538458.1
";"1  (bases 1 to 353)
";"Enterovirus C96
";"Ding,Z.R., Tang,J.J., Tian,B.J., Zhang,J., Li,L.Q., Zhao,Z.X. and
";"[Status of enterovirus infection and molecular identification among
";NA;NA;"         1..353
";"""genomic RNA""";NA;"""Homo sapiens""";"""China: Yunnan""";"""2010""";"25-JUL-2016
"
HQ538457.1;"HQ538457
";"Human enterovirus 96 isolate ma-40 VP1 capsid protein gene, partial
";"HQ538457.1
";"1  (bases 1 to 353)
";"Enterovirus C96
";"Ding,Z.R., Tang,J.J., Tian,B.J., Zhang,J., Li,L.Q., Zhao,Z.X. and
";"[Status of enterovirus infection and molecular identification among
";NA;NA;"         1..353
";"""genomic RNA""";NA;"""Homo sapiens""";"""China: Yunnan""";"""2010""";"25-JUL-2016
"
HQ538456.1;"HQ538456
";"Human enterovirus 96 isolate jg-234 VP1 capsid protein gene,
";"HQ538456.1
";"1  (bases 1 to 351)
";"Enterovirus C96
";"Ding,Z.R., Tang,J.J., Tian,B.J., Zhang,J., Li,L.Q., Zhao,Z.X. and
";"[Status of enterovirus infection and molecular identification among
";NA;NA;"         1..351
";"""genomic RNA""";NA;"""Homo sapiens""";"""China: Yunnan""";"""2010""";"25-JUL-2016
"
HM370295.1;"HM370295
";"Human enterovirus 104 strain Pav68-10804B polyprotein gene, partial
";"HM370295.1
";"1  (bases 1 to 399)
";"Enterovirus C104
";"Piralla,A., Baldanti,F. and Gerna,G.
";"Phylogenetic Patterns of Human Respiratory Picornavirus Species,
";NA;NA;"         1..399
";"""genomic RNA""";"""Pav68-10804B""";"""Homo sapiens""";"""Italy""";"""May-2009""";"25-JUL-2016
"
HM370294.1;"HM370294
";"Human enterovirus 104 strain Pav259-7712 polyprotein gene, partial
";"HM370294.1
";"1  (bases 1 to 402)
";"Enterovirus C104
";"Piralla,A., Baldanti,F. and Gerna,G.
";"Phylogenetic Patterns of Human Respiratory Picornavirus Species,
";NA;NA;"         1..402
";"""genomic RNA""";"""Pav259-7712""";"""Homo sapiens""";"""Italy""";"""Apr-2009""";"25-JUL-2016
"
GU906783.1;"GU906783
";"Human enterovirus 96 strain 05517/SD/CHN/2005/EV96 polyprotein
";"GU906783.1
";"1  (bases 1 to 927)
";"Enterovirus C96
";"Li,Y., Wang,H., Tao,Z. and Xu,A.
";"Serotype distribution of Human enterovirus species C in Shandong
";NA;NA;"         1..927
";"""genomic RNA""";"""05517/SD/CHN/2005/EV96""";"""Homo sapiens""";"""China""";"""2005""";"25-JUL-2016
"
GU722101.1;"GU722101
";"Human enterovirus 104 strain Pav-1 polyprotein gene, partial cds.
";"GU722101.1
";"1  (bases 1 to 447)
";"Enterovirus C104
";"Piralla,A., Rovida,F., Baldanti,F. and Gerna,G.
";"Enterovirus Genotype EV-104 in Humans, Italy, 2008-2009
";NA;NA;"         1..447
";"""genomic RNA""";"""Pav-1""";"""Homo sapiens""";"""Italy""";"""Apr-2009""";"25-JUL-2016
"
GU722100.1;"GU722100
";"Human enterovirus 104 strain Pav-2 polyprotein gene, partial cds.
";"GU722100.1
";"1  (bases 1 to 447)
";"Enterovirus C104
";"Piralla,A., Rovida,F., Baldanti,F. and Gerna,G.
";"Enterovirus Genotype EV-104 in Humans, Italy, 2008-2009
";NA;NA;"         1..447
";"""genomic RNA""";"""Pav-2""";"""Homo sapiens""";"""Italy""";"""Apr-2009""";"25-JUL-2016
"
GU722099.1;"GU722099
";"Human enterovirus 104 strain Pav-3 polyprotein gene, partial cds.
";"GU722099.1
";"1  (bases 1 to 447)
";"Enterovirus C104
";"Piralla,A., Rovida,F., Baldanti,F. and Gerna,G.
";"Enterovirus Genotype EV-104 in Humans, Italy, 2008-2009
";NA;NA;"         1..447
";"""genomic RNA""";"""Pav-3""";"""Homo sapiens""";"""Italy""";"""May-2009""";"25-JUL-2016
"
GU722098.1;"GU722098
";"Human enterovirus 104 strain Pav-4 polyprotein gene, partial cds.
";"GU722098.1
";"1  (bases 1 to 447)
";"Enterovirus C104
";"Piralla,A., Rovida,F., Baldanti,F. and Gerna,G.
";"Enterovirus Genotype EV-104 in Humans, Italy, 2008-2009
";NA;NA;"         1..447
";"""genomic RNA""";"""Pav-4""";"""Homo sapiens""";"""Italy""";"""May-2009""";"25-JUL-2016
"
GU722097.1;"GU722097
";"Human enterovirus 104 strain Pav-5 polyprotein gene, partial cds.
";"GU722097.1
";"1  (bases 1 to 447)
";"Enterovirus C104
";"Piralla,A., Rovida,F., Baldanti,F. and Gerna,G.
";"Enterovirus Genotype EV-104 in Humans, Italy, 2008-2009
";NA;NA;"         1..447
";"""genomic RNA""";"""Pav-5""";"""Homo sapiens""";"""Italy""";"""May-2009""";"25-JUL-2016
"
GQ176235.1;"GQ176235
";"Human enterovirus 99 strain 11025 VP1 gene, partial cds.
";"GQ176235.1
";"1  (bases 1 to 324)
";"Enterovirus C99
";"Khetsuriani,N., Helfand,R., Pallansch,M., Kew,O., Fowlkes,A.,
";"Limited duration of vaccine poliovirus and other enterovirus
";NA;NA;"         1..324
";"""genomic RNA""";"""11025""";"""Homo sapiens""";"""Kenya""";"""Apr-1999""";"24-JUL-2016
"
GQ176200.1;"GQ176200
";"Human enterovirus 99 strain 10991 VP1 gene, partial cds.
";"GQ176200.1
";"1  (bases 1 to 417)
";"Enterovirus C99
";"Khetsuriani,N., Helfand,R., Pallansch,M., Kew,O., Fowlkes,A.,
";"Limited duration of vaccine poliovirus and other enterovirus
";NA;NA;"         1..417
";"""genomic RNA""";"""10991""";"""Homo sapiens""";"""Kenya""";"""Dec-1998""";"24-JUL-2016
"
GQ176162.1;"GQ176162
";"Human enterovirus 99 strain 10953 VP1 gene, partial cds.
";"GQ176162.1
";"1  (bases 1 to 322)
";"Enterovirus C99
";"Khetsuriani,N., Helfand,R., Pallansch,M., Kew,O., Fowlkes,A.,
";"Limited duration of vaccine poliovirus and other enterovirus
";NA;NA;"         1..322
";"""genomic RNA""";"""10953""";"""Homo sapiens""";"""Kenya""";"""Dec-1998""";"24-JUL-2016
"
GQ176161.1;"GQ176161
";"Human enterovirus 99 strain 10952 VP1 gene, partial cds.
";"GQ176161.1
";"1  (bases 1 to 325)
";"Enterovirus C99
";"Khetsuriani,N., Helfand,R., Pallansch,M., Kew,O., Fowlkes,A.,
";"Limited duration of vaccine poliovirus and other enterovirus
";NA;NA;"         1..325
";"""genomic RNA""";"""10952""";"""Homo sapiens""";"""Kenya""";"""Dec-1998""";"24-JUL-2016
"
EU840749.1;"EU840749
";"Human enterovirus 104 strain CL-C22 3D protein gene, partial cds.
";"EU840749.1
";"1  (bases 1 to 422)
";"Enterovirus C104
";"Tapparel,C., Junier,T., Gerlach,D., Van-Belle,S., Turin,L.,
";"New respiratory enterovirus and recombinant rhinoviruses among
";NA;NA;"         1..422
";"""genomic RNA""";"""CL-C22""";"""Homo sapiens""";"""Switzerland""";"""Feb-2007""";"24-JUL-2016
"
EU840748.1;"EU840748
";"Human enterovirus 104 strain CL-1243049 3D protein gene, partial
";"EU840748.1
";"1  (bases 1 to 422)
";"Enterovirus C104
";"Tapparel,C., Junier,T., Gerlach,D., Van-Belle,S., Turin,L.,
";"New respiratory enterovirus and recombinant rhinoviruses among
";NA;NA;"         1..422
";"""genomic RNA""";"""CL-1243049""";"""Homo sapiens""";"""Switzerland""";"""2005""";"24-JUL-2016
"
EU840747.1;"EU840747
";"Human enterovirus 104 strain CL-1234691 3D protein gene, partial
";"EU840747.1
";"1  (bases 1 to 422)
";"Enterovirus C104
";"Tapparel,C., Junier,T., Gerlach,D., Van-Belle,S., Turin,L.,
";"New respiratory enterovirus and recombinant rhinoviruses among
";NA;NA;"         1..422
";"""genomic RNA""";"""CL-1234691""";"""Homo sapiens""";"""Switzerland""";"""2005""";"24-JUL-2016
"
EU840746.1;"EU840746
";"Human enterovirus 104 strain CL-1232386 3D protein gene, partial
";"EU840746.1
";"1  (bases 1 to 422)
";"Enterovirus C104
";"Tapparel,C., Junier,T., Gerlach,D., Van-Belle,S., Turin,L.,
";"New respiratory enterovirus and recombinant rhinoviruses among
";NA;NA;"         1..422
";"""genomic RNA""";"""CL-1232386""";"""Homo sapiens""";"""Switzerland""";"""2005""";"24-JUL-2016
"
EU840745.1;"EU840745
";"Human enterovirus 104 strain CL-1231100 3D protein gene, partial
";"EU840745.1
";"1  (bases 1 to 422)
";"Enterovirus C104
";"Tapparel,C., Junier,T., Gerlach,D., Van-Belle,S., Turin,L.,
";"New respiratory enterovirus and recombinant rhinoviruses among
";NA;NA;"         1..422
";"""genomic RNA""";"""CL-1231100""";"""Homo sapiens""";"""Switzerland""";"""2005""";"24-JUL-2016
"
EU840744.1;"EU840744
";"Human enterovirus 104 strain CL-C22 polyprotein gene, partial cds.
";"EU840744.1
";"1  (bases 1 to 320)
";"Enterovirus C104
";"Tapparel,C., Junier,T., Gerlach,D., Van-Belle,S., Turin,L.,
";"New respiratory enterovirus and recombinant rhinoviruses among
";NA;NA;"         1..320
";"""genomic RNA""";"""CL-C22""";"""Homo sapiens""";"""Switzerland""";"""Feb-2007""";"24-JUL-2016
"
EU840743.1;"EU840743
";"Human enterovirus 104 strain CL-1248803 polyprotein gene, partial
";"EU840743.1
";"1  (bases 1 to 320)
";"Enterovirus C104
";"Tapparel,C., Junier,T., Gerlach,D., Van-Belle,S., Turin,L.,
";"New respiratory enterovirus and recombinant rhinoviruses among
";NA;NA;"         1..320
";"""genomic RNA""";"""CL-1248803""";"""Homo sapiens""";"""Switzerland""";"""2005""";"24-JUL-2016
"
EU840742.1;"EU840742
";"Human enterovirus 104 strain CL-1243049 polyprotein gene, partial
";"EU840742.1
";"1  (bases 1 to 320)
";"Enterovirus C104
";"Tapparel,C., Junier,T., Gerlach,D., Van-Belle,S., Turin,L.,
";"New respiratory enterovirus and recombinant rhinoviruses among
";NA;NA;"         1..320
";"""genomic RNA""";"""CL-1243049""";"""Homo sapiens""";"""Switzerland""";"""2005""";"24-JUL-2016
"
EU840741.1;"EU840741
";"Human enterovirus 104 strain CL-1234691 polyprotein gene, partial
";"EU840741.1
";"1  (bases 1 to 320)
";"Enterovirus C104
";"Tapparel,C., Junier,T., Gerlach,D., Van-Belle,S., Turin,L.,
";"New respiratory enterovirus and recombinant rhinoviruses among
";NA;NA;"         1..320
";"""genomic RNA""";"""CL-1234691""";"""Homo sapiens""";"""Switzerland""";"""2005""";"24-JUL-2016
"
EU840740.1;"EU840740
";"Human enterovirus 104 strain CL-1232386 polyprotein gene, partial
";"EU840740.1
";"1  (bases 1 to 320)
";"Enterovirus C104
";"Tapparel,C., Junier,T., Gerlach,D., Van-Belle,S., Turin,L.,
";"New respiratory enterovirus and recombinant rhinoviruses among
";NA;NA;"         1..320
";"""genomic RNA""";"""CL-1232386""";"""Homo sapiens""";"""Switzerland""";"""2005""";"24-JUL-2016
"
EU840739.1;"EU840739
";"Human enterovirus 104 strain CL-1231100 polyprotein gene, partial
";"EU840739.1
";"1  (bases 1 to 320)
";"Enterovirus C104
";"Tapparel,C., Junier,T., Gerlach,D., Van-Belle,S., Turin,L.,
";"New respiratory enterovirus and recombinant rhinoviruses among
";NA;NA;"         1..320
";"""genomic RNA""";"""CL-1231100""";"""Homo sapiens""";"""Switzerland""";"""2005""";"24-JUL-2016
"
KT735367.1;"KT735367
";"Enterovirus C104 isolate EV_NL_E2014116305 VP1 gene, partial cds.
";"KT735367.1
";"1  (bases 1 to 325)
";"Enterovirus C104
";"Van Leer-Buter,C.C., Poelman,R., Borger,R. and Niesters,H.G.
";"Newly identified Enterovirus-C genotypes, identified in the
";NA;"Sanger dideoxy sequencing
";"         1..325
";"""genomic RNA""";NA;"""Homo sapiens""";"""Netherlands""";"""2014""";"20-JUL-2016
"
KT735362.1;"KT735362
";"Enterovirus C117 isolate EV_NL_E2013014976 VP1 gene, partial cds.
";"KT735362.1
";"1  (bases 1 to 325)
";"enterovirus C117
";"Van Leer-Buter,C.C., Poelman,R., Borger,R. and Niesters,H.G.
";"Newly identified Enterovirus-C genotypes, identified in the
";NA;"Sanger dideoxy sequencing
";"         1..325
";"""genomic RNA""";NA;"""Homo sapiens""";"""Netherlands""";"""2013""";"20-JUL-2016
"
