Recombination Event Number; Number In .RDP File; Begin; End;Begin; End;Begin; End; Recombinant Sequence(s); Minor Parental Sequence(s); Major Parental Sequence(s); RDP; GENECONV; Bootscan; Maxchi; Chimaera; SiSscan;PhylPro; LARD; 3Seq
11;11;3473;5605;3473;5605;3470;5592;OP137278_Israel_Poliovirus-3;KX162717_Nigeria_Poliovirus-2;KJ170675_Nigeria_Poliovirus-3; 6.0607935940686E-175; 4.49013476351145E-168; 4.27635254510033E-171; 2.07438716486409E-39; 3.03586537542267E-39; 6.30798718199719E-44;NS;NS; 1.91006235035912E-236
12;12;3605;5820;3605;5820;3602;5807;OP137273_Israel_Poliovirus-3;KX162717_Nigeria_Poliovirus-2;KJ170675_Nigeria_Poliovirus-3; 1.72816675649474E-170; 1.95704380835163E-167; 2.08695281775992E-169; 1.68958630269385E-40; 2.06483862506325E-40; 3.07348236643199E-45;NS;NS; 3.37065590448102E-244
13;13;4420;1;4420;1;4417;1;ON596439_Nigeria_Poliovirus-2;MK028134_China_Poliovirus-3;JX275071_Nigeria_Poliovirus-2; 2.65733879231989E-172; 8.35135535085118E-167; 2.19802149410185E-164; 8.61618029299154E-39; 1.085325024554E-38; 1.59368056407547E-44;NS;NS; 1.62407017698394E-234
14;14;2246;3954;2246;3954;2244;3951;MG212468_Georgia_Poliovirus-3;MG212457_Russia_Poliovirus-2;PP579970_China_Poliovirus-3; 4.01762197306862E-168; 1.29982838593488E-160; 3.13915112044849E-163; 1.23013663849832E-38; 5.10591650695663E-39; 1.64878260905567E-42;NS;NS; 3.0304228070791E-220
15;15;2364;28;2364;28;2361;28;^MT241239_Singapore_2013;MT241238_Singapore_2013;Unknown (KC296444_Viet-Nam_2011); 3.35402546459656E-210; 4.89035201338529E-166; 6.9197259437598E-155; 1.06585457907372E-64;NS; 5.33570261013207E-89;NS;NS; 3.672471E-293
16;16;3885;6267;3885;6267;3882;6252;PP579970_China_Poliovirus-3;KJ170530_Nigeria_Poliovirus-1;KJ170675_Nigeria_Poliovirus-3; 6.30905082369989E-160; 2.53213273752114E-157; 6.2583035209093E-159; 6.83453135097844E-39; 5.65871372161464E-39; 1.63227136065055E-47;NS;NS; 6.11314079568139E-224
17;18;5020;6274;5020;6274;5007;6259;MG212457_Russia_Poliovirus-2;KJ170670_Nigeria_Poliovirus-3;MG212446_Russia_Poliovirus-2; 1.20422393589866E-138; 2.4228769056224E-136; 2.48388929592396E-132; 6.69544297178214E-27; 6.65850987422301E-27; 2.21939825034606E-31;NS;NS; 3.22063282131521E-141
18;19;28;2474;28;2474;28;2471;KX162690_Chad_Poliovirus-2;JX275071_Nigeria_Poliovirus-2;KX162682_Central-African; 1.00974476057073E-129; 3.41417569743497E-134; 4.54575992660681E-110; 4.04277654803459E-50; 3.34525168978561E-48; 7.83653577321113E-70;NS;NS; 1.48837541609057E-164
19;20;1;2783;1;2732;1;2780;^OP137280_Israel_Sabin-likePoliovirus3;MG212474_Russia_Poliovirus-3;Unknown (MG212486_Russia_Poliovirus-2); 1.00527335274377E-127; 7.11598124126047E-116; 5.65500596523633E-129; 8.69416078683839E-53; 9.37133496294727E-22; 2.67787909167135E-75;NS;NS; 1.47380483088472E-135
20;21;6292;2458;6292;2458;6275;2455;KX162713_Nigeria_Poliovirus-2;ON596437_Nigeria_Poliovirus-2;Unknown (OP137281_Israel_Poliovirus-3); 2.7338510111469E-120; 3.49214637171762E-124; 3.74773110860749E-115; 5.98522076156786E-49; 6.8457075755225E-18; 1.02780720246609E-66;NS;NS; 7.88152015838925E-98
21;22;93;2424;93;2424;93;2421;^JX275038_Nigeria_Poliovirus-2;MZ245455_USA_Poliovirus-2;Unknown (OP137281_Israel_Poliovirus-3); 4.47835383007798E-119; 1.12155187703907E-124; 2.86630943428298E-109; 1.99707718788287E-48; 8.39263497513397E-14; 1.68039103004422E-65;NS;NS; 6.68478055789071E-104
22;23;6300;2530;6299;2529;6283;2527;^JX275015_Nigeria_Poliovirus-2;KJ170573_Nigeria_Poliovirus-2;Unknown (OP137281_Israel_Poliovirus-3); 2.88949666521033E-117; 3.69010607887142E-122; 2.69443812129991E-124; 1.98805270253287E-50;NS; 5.8474204589395E-72;NS;NS; 3.84847670949876E-112
23;24;1;2399;1;2385;1;2396;^PP621606_Nepal_2023;Unknown (KC296444_Viet-Nam_2011);MT241238_Singapore_2013; 1.19765752595809E-115; 1.08369194490865E-131; 4.38817446115694E-116; 6.22430155530526E-50; 1.76562791987129E-23; 5.42104358701991E-78;NS;NS; 1.72936825973558E-89
24;25;5318;6262;5318;6262;5305;6248;MG212486_Russia_Poliovirus-2;KJ170675_Nigeria_Poliovirus-3;MG212459_Russia_Poliovirus-2; 3.41285230065511E-116; 2.13346342038817E-114; 2.23098723561366E-114; 1.1550826301875E-21; 1.16993789120271E-21; 2.80622061197995E-25;NS;NS; 1.65872041087808E-105
25;26;93;2482;93;2482;93;2479;^OP137281_Israel_Poliovirus-3;Unknown (JX275052_Nigeria_Poliovirus-2);MZ245455_USA_Poliovirus-2; 1.9890068281423E-113; 9.6309501390056E-124; 1.39422170032537E-113; 8.99143454325156E-49; 3.34926656078169E-24; 8.69568276681017E-68;NS;NS; 2.52072951357913E-112
26;27;3401;6296;3401;6296;3398;6279;OQ842459_USA_2017;MZ389229_Spain_2015;OP207965_USA_2016; 4.98260204789521E-139; 1.58679780969912E-130; 3.98577327598614E-130; 1.15408422868559E-48; 7.14229626093739E-51; 4.94854159009275E-57;NS;NS; 1.43334624793102E-244
27;28;6286;3201;6286;3201;6269;3198;^MZ229657_China_2019;OP441393_China_2018;Unknown (KP266568_China_2009); 1.75057215827243E-117; 1.16461829166295E-112; 2.23799179450938E-126; 6.86626980634882E-52; 1.56209740521763E-19; 6.627582997722E-64;NS;NS; 6.42079678638744E-110
28;29;3744;5076;3737;5069;3741;5063;MN808792_China_2019;OP441393_China_2018;MN815811_China_2018; 1.55349175438272E-111; 9.63740127979966E-105; 7.11465488648297E-102; 1.9360238051349E-44; 6.40971319756587E-35; 1.69843014792389E-33;NS;NS; 5.15739754182485E-128
29;30; 5077*;6302; 5070*;6295; 5064*;6285;MN808792_China_2019;OQ791573_USA_2018;MN815811_China_2018; 3.79408928653431E-112; 2.10799980966077E-96; 1.12573673687813E-107; 4.07090648356806E-28; 1.15682107364688E-28; 3.50234273530312E-33;NS;NS; 4.02556084633871E-131
30;31;27;2448;27;2448;27;2445;^HQ738289_Madagascar_Enterovirus-C;JX275085_Nigeria_Poliovirus-2;FM955278_Madagascar_Coxsackievirus-A17; 5.18319884037332E-111; 2.29960886520872E-108; 1.21417653864142E-106; 1.96788507612049E-44; 4.59860281803479E-29; 3.91783559223891E-66;NS;NS; 7.76227649007853E-65
31;32;3786;6302;3784;6300;3783;6285;^HQ998851_China_2010;KF311743_China_2011;KP266576_China_2010; 1.57592664844693E-118; 5.66372799388536E-110; 4.7182496981356E-115; 9.96453086002119E-42; 8.77077258900713E-45; 2.29015183295207E-51;NS;NS; 3.5104072812696E-186
32;33;6299;2434;6297;2432;6282;2431;KM388538_China_2012;MK791150_China_2018;JX976773_China_2010; 1.45857480621761E-123; 2.19029178876813E-127; 2.35740834139886E-111; 3.05260502395129E-54; 5.3302474015635E-03; 1.07705550229636E-74;NS;NS; 6.64092954674435E-257
33;34;6292;2398;6290;2396;6275;2395;^MH785183_Nigeria_Coxsackievirus-A20;Unknown (OP410415_United-Kingdom_Poliovirus-2);JX275032_Nigeria_Poliovirus-2; 9.61733654214772E-106; 9.85443838484507E-112; 8.27019488098953E-104; 1.30867431211898E-45; 1.62214415787451E-21; 1.75274861815311E-74;NS;NS; 6.58729693325001E-45
34;37;3624;6300;3617;6293;3621;6283;^PP461538_Thailand_2023;PP621655_Thailand_2019;PP861087_Hungary_2023; 4.74206321491841E-99; 4.4814693213305E-96; 9.10041104071218E-97; 4.13257828468876E-41; 4.28344267766235E-43; 2.50134293356173E-55;NS;NS; 2.28727822816112E-136
35;38;3590;4551;3590;4551;3587;4548;^HM807310_Taiwan_2005;KF501389_China_2010;KC436266_Hong-Kong_2005; 1.0903288738815E-96; 3.08716678635064E-91; 7.77694976448374E-96; 1.73799595311295E-25; 2.16836799534644E-25; 9.94191251798823E-26;NS;NS; 1.3905391967737E-93
36;39;6300;2778;6300;2778;6283;2775;JX274980_Nigeria_Poliovirus-2;MG212459_Russia_Poliovirus-2;OP137313_Israel_Poliovirus-3; 1.41588310592949E-98; 4.180149377879E-98; 1.16845875917467E-105; 1.19510574590533E-45; 8.69865916537022E-25; 8.45176056007097E-75;NS;NS; 2.32403899125266E-07
37;40;114;2482;114;2482;114;2479;^JX275122_Nigeria_Poliovirus-2;MG212459_Russia_Poliovirus-2;KY941931_Ethiopia_Poliovirus-1; 5.66196159231109E-97; 4.44004366466951E-107; 5.54293130370453E-93; 9.27332762527285E-40; 5.18537514291896E-34; 2.95682542729493E-64;NS;NS; 3.23667785624623E-38
38;42;6240;3056;6240;3056;6227;3053;^KY941934_Pakistan_Poliovirus-3;Unknown (KC880371_Kazakhstan_Poliovirus-1);KC880369_Tajikistan_Poliovirus-1; 2.30655494770412E-94; 1.30369777980777E-76; 5.02842741877425E-98; 1.72022660867387E-44; 1.75078886335689E-20; 2.065667646777E-80;NS;NS; 1.10628213637109E-17
39;44;6296;2368;6289;2361;6279;2365;^OR095792_China_2020;MG720258_China_2015;MK791150_China_2018; 2.38084319376179E-117; 5.59573098205928E-112; 3.56357565666789E-92; 2.73764140510985E-49; 7.33502888756343E-51; 1.2205394689819E-70;NS;NS; 2.61204295840407E-177
40;45;2578;6300;2571;6293;2575;6283;^PP861087_Hungary_2023;OQ791573_USA_2018;Unknown (MF678341_Australia_2008); 1.2031053748443E-88; 1.36945415325877E-80; 3.36729702723081E-85; 1.49627329859824E-46; 3.49786036226044E-50; 3.42659051112109E-58;NS;NS; 2.34561988773049E-193
41;47;3570;1;3564;1;3567;1;^FJ357838_China_2008;KP266578_China_2009;Unknown (JX017381_China_2011); 7.03796469793041E-98; 2.12264988512832E-77; 2.88440580357747E-94; 2.28632362929961E-40; 3.400977583146E-41; 3.1456849750871E-40;NS;NS; 7.48237122985642E-171
42;50;6299;2900;6292;2893;6282;2897;^MG720258_China_2015;MN815811_China_2018;Unknown (JN596587_China_2010); 3.97040363889492E-91; 6.05863160805594E-88; 1.57844877016003E-81; 1.9776126062942E-45; 5.33574892385035E-35; 9.51605329657827E-73;NS;NS; 1.44918387125995E-91
43;51;6291;2758;6291;2758;6274;2755;^AM884185_Madagascar_Poliovirus-2;KX162716_Nigeria_Poliovirus-2;FM955278_Madagascar_Coxsackievirus-A17; 2.05440785037338E-85; 1.44025165623727E-91; 1.9810845335164E-89; 4.27747390766299E-45; 8.92482008739911E-30; 1.62481964556488E-71;NS;NS; 2.06758418870124E-77
44;52;6292;2394;6292;2394;6275;2391;^JX275328_Nigeria_Poliovirus-2;MG212459_Russia_Poliovirus-2;KY941933_Nigeria_Poliovirus-3; 5.5596840305027E-87; 9.96417360127738E-97; 8.77731381838537E-94; 6.54349816626244E-39; 1.50738315312755E-17; 4.47355437144163E-63;NS;NS; 8.7291562513533E-22
45;53;6299;2923;6294;2918;6282;2920;^KM890278_China_2009;KP289437_China_2013;JX976773_China_2010; 7.20787809818591E-91; 4.64073373916638E-85; 3.43600757516395E-82; 7.51929621523727E-47; 5.86818036506119E-29; 3.24795637261564E-72;NS;NS; 6.91571753233813E-145
46;54;1;2650;1;2650;1;2647;^MG013988_Senegal_2015;HQ424436_Greece_2010;LK021688_Madagascar_2011; 1.8896221650856E-82; 4.70384293975978E-86; 3.77843575038971E-86; 5.25105632278957E-44; 1.50219068931521E-17; 6.68267715170347E-70;NS;NS; 6.08350898171822E-88
47;55;6300;2778;6293;2771;6283;2775;^MG720260_China_2015;MF678301_Australia_2008;MZ540960_China_2018; 3.12675691077551E-86; 1.42836590415817E-86; 1.44038422750511E-79; 1.35817490217016E-46; 1.14684708319091E-13; 1.64633596505989E-69;NS;NS; 4.97906797203814E-152
48;56;5292; 6305*;5292; 6305*;5279; 6288*;MG212446_Russia_Poliovirus-2;KJ170530_Nigeria_Poliovirus-1;KR259357_India_Poliovirus-2; 4.77919092617572E-80; 8.27354101088694E-77; 3.84742912317571E-79; 4.52635471107879E-23; 3.27551239548934E-23; 4.49216620758025E-28;NS;NS; 4.02469788544951E-112
49;57;6297;2988;6292;2983;6280;2985;^OQ842439_USA_2010;KP289434_China_2013;Unknown (KP289441_China_2013); 4.07430861357364E-79; 3.90395107504344E-80; 4.31614384000537E-70; 2.16096798759696E-44; 5.42037121633996E-16; 5.52113602401009E-65;NS;NS; 1.06499607645763E-116
50;58;2288; 3035*;2288; 3035*;2285; 3032*;MG212477_Russia_Poliovirus-3;MG212463_Russia_Poliovirus-2;Unknown (JX275175_Nigeria_Poliovirus-2); 4.96718788906655E-79; 5.60157576293005E-77; 6.57416794531026E-80; 2.72561143197272E-20; 1.41338269254052E-19; 2.40648604277853E-26;NS;NS; 1.12416785783505E-81
51;59;6300;3557;6292;3549;6283;3554;^JX644073_China_2004;Unknown (KP266578_China_2009);JX017381_China_2011; 2.77570155406932E-78; 1.25933013290462E-66; 2.50988724581935E-62; 1.32873633606182E-39; 3.47182555564656E-33; 8.46533354359816E-87;NS;NS; 8.12664565285904E-141
52;60;164;2388;164;2388;164;2385;^PP621687_Thailand_2019;PP621219_Thailand_2019;PP887984_Hungary_2023; 9.26803024149794E-91; 1.89106506604726E-86; 4.89309526422114E-79; 4.68497598201603E-42; 2.70722156894197E-41; 8.66937960026938E-61;NS;NS; 1.84261641037638E-111
53;61;3258;15;3257;15;3255;15;^KJ765699_China_2012;JX976771_China_2011;Unknown (AB705311_Japan_2011); 2.95434307918795E-111; 3.10931995719636E-103; 1.87509118421909E-104; 2.01790213115697E-44; 2.92249127500361E-47; 3.69164866508531E-54;NS;NS; 3.68343861264774E-202
54;62;1;2542;1;2539;1;2539;^MT123346_China_2000;Unknown (KC954664_China_2009);JX678886_China_2002; 1.45975020674311E-75; 5.51954393631003E-87; 1.12301477583725E-82; 4.8680531112817E-42; 1.37304007134454E-33; 1.07874122497387E-68;NS;NS; 8.14133267026355E-64
55;63;3323;6285;3320;6282;3320;6268;^AB705311_Japan_2011;Unknown (MF083153_China_2013);JX976771_China_2011; 2.09942899019629E-98; 9.7877145129235E-97; 1.3656615151627E-89; 5.18710497982997E-42; 8.57652061090011E-43; 1.16664704801548E-43;NS;NS; 7.80028806402342E-162
56;64;6290;2652;6287;2649;6273;2649;^PP621683_Thailand_2019;JX976771_China_2011;Unknown (KP289441_China_2013); 1.18755138268367E-83; 1.44722956475398E-76; 1.41815460798885E-79; 4.84718189639275E-44; 3.16990715540863E-35; 5.14076442710314E-76;NS;NS; 3.83833090046335E-101
57;65;6299;2923;6299;2923;6282;2920;^OQ969174_France_2018;PP621664_Thailand_2019;Unknown (JX476166_India_2010); 1.54038307842546E-74; 3.36133531338739E-73; 6.97651689225216E-71; 7.33435787894606E-43; 4.59673093379126E-34; 2.07067157155319E-71;NS;NS; 2.48530032480877E-87
58;66; 6276*;3896; 6276*;3896; 6261*;3893;^KX162716_Nigeria_Poliovirus-2;MG212459_Russia_Poliovirus-2;Unknown (KJ170530_Nigeria_Poliovirus-1); 8.73278250819214E-71; 2.61315717829141E-61; 6.41887505857613E-75; 5.15343233606435E-31; 2.28464435799269E-28; 1.06086448850885E-42;NS;NS; 1.49805773755327E-66
59;67;4933;1;4933;1;4920;1;PP621675_Thailand_2019;PP621680_Thailand_2019;PP621670_Thailand_2019; 1.17097393460193E-72; 1.94915379826215E-62; 3.85099440409078E-69; 1.12992238961169E-30; 2.562210331721E-26; 1.75534888207422E-29;NS;NS; 5.43522024734706E-60
60;68;3434;6279;3434;6279;3431;6264;PQ238721_USA_2018;OP572077_USA_2022;MK105982_France_2012; 3.39401532461988E-68; 2.39522817712521E-66; 1.67095027265677E-66; 6.14441050222596E-30; 4.96046540659207E-31; 1.31167142229747E-36;NS;NS; 4.93946361234106E-106
61;69;6290;2806;6290;2806;6273;2803;^JX976773_China_2010;OP207962_USA_2015;Unknown (OQ791514_USA_2009); 1.03369709812344E-71; 1.91636243883818E-67; 1.77501388231976E-69; 3.63340879177962E-41; 6.70417278310133E-23; 1.37502659145484E-62;NS;NS; 1.36751077119842E-81
62;70;3767;1;3764;1;3764;1;^HM185056_China_2008;Unknown (KF311743_China_2011);JX976771_China_2011; 4.04773497200506E-79; 4.56769262649528E-68; 1.07896538286921E-70; 4.51382679900478E-40; 2.98346324474159E-42; 1.46098798524298E-45;NS;NS; 4.41415680899965E-124
63;71;3730;4316;3730;4316;3727;4313;MG212474_Russia_Poliovirus-3;MZ245455_USA_Poliovirus-2;OP137281_Israel_Poliovirus-3; 2.5025660091217E-66; 7.2441326933554E-64; 5.50300191562327E-59; 4.19139269682355E-23; 7.07105901965583E-22; 2.83762057044895E-18;NS;NS; 9.97774824660153E-66
64;73;798;1650;798;1650;798;1648;^KC954664_China_2009;HM002485_China_2008;ON646273_China_2022; 8.73950519567679E-64; 6.04282071112957E-43; 8.74770360580407E-64; 5.24120047840609E-13; 1.73518850044702E-12; 4.12713296828831E-13;NS;NS; 7.03492163072191E-47
65;74;5532;12;5532;12;5519;12;KT946715_China_Poliovirus-3;MZ245455_USA_Poliovirus-2;Unknown (MG212459_Russia_Poliovirus-2); 1.8303281324014E-63; 3.07590540413668E-61; 2.68245247630864E-51; 2.52189521489603E-16; 7.21272251199074E-16; 8.59223067782619E-157;NS;NS; 6.48984369793138E-73
66;75;92;2464;92;2464;92;2461;JX275175_Nigeria_Poliovirus-2;MG212459_Russia_Poliovirus-2;KY941933_Nigeria_Poliovirus-3; 4.47791626188446E-73; 1.03965016636127E-80; 8.62089069852362E-72; 3.12968385015271E-36; 3.48233917160475E-31; 8.89070032851232E-63;NS;NS; 1.47997277870211E-37
67;76; 6276*;3401; 6275*;3400; 6261*;3398;KR259355_India_Poliovirus-1;MZ245455_USA_Poliovirus-2;KJ170530_Nigeria_Poliovirus-1; 2.22695535286465E-64; 4.93655409211553E-61; 2.16310842717581E-55; 1.01422984989164E-34; 3.43049769163627E-32; 8.62610539973442E-34;NS;NS; 3.93037869824439E-102
68;77;6302;3569;6302;3569;6285;3566;^KP266578_China_2009;JX017381_China_2011;MN481500_China_2013; 7.2659805621336E-62; 2.09476362525277E-60; 1.85537807653588E-57; 2.37235819773284E-37; 1.23578379154637E-29; 3.09020620666956E-87;NS;NS; 3.22718093044885E-68
69;78; 4421*;6280; 4421*;6280; 4418*;6264;JX275071_Nigeria_Poliovirus-2;KJ170530_Nigeria_Poliovirus-1;Unknown (MG212459_Russia_Poliovirus-2); 8.6363475467337E-67; 4.03121551130932E-63; 7.76757000184895E-56; 5.08111206891005E-37; 3.50582509633366E-29; 5.15398483525957E-50;NS;NS; 2.12107234987615E-83
70;79;5502; 6305*;5502; 6305*;5489; 6288*;MG212459_Russia_Poliovirus-2;KJ170530_Nigeria_Poliovirus-1;HM107835_China_Poliovirus-2; 5.87926400952825E-66; 1.24610937591306E-63; 2.04200621736548E-64; 3.03510475716691E-26; 1.98344573982833E-22; 2.876125769246E-27;NS;NS; 1.00168775182699E-73
71;80;39;2417;39;2417;39;2414;^OQ401876_Spain_Enterovirus-C;KJ170573_Nigeria_Poliovirus-2;DQ358078_Netherlands_Coxsackievirus-A20; 4.30521215054897E-62; 5.96579504341332E-65; 7.13168400931554E-51; 1.84483394736713E-35; 3.90387574643171E-26; 7.40822240063656E-63;NS;NS; 1.82351140549541E-04
72;81;100;2796;100;2796;100;2793;^OR039178_China_2019;PP621605_Thailand_2023;MW365443_China_2019; 7.72928445866292E-61; 8.3485567379764E-61; 6.40939751971366E-49; 5.83017494581738E-36; 5.71002030979302E-32; 4.90344071052529E-65;NS;NS; 4.96861006452146E-68
73;82;3334;6302;3326;6294;3331;6285;^OQ842458_USA_2016;KF311743_China_2011;JN596588_China_2009; 2.14739173976505E-74;NS; 7.29993385195529E-72; 6.05996704979354E-40; 1.20747698473533E-37; 1.7014759258597E-69;NS;NS; 4.31466559011224E-127
74;83;6297;2910;6290;2904;6280;2907;^MF678311_Australia_2009;OQ842445_USA_2012;KF312882_China_2000; 1.71859197770435E-59; 3.78118033993854E-52; 3.37463773910421E-52; 4.91333668472083E-39; 1.16272962537497E-33; 4.86352862952741E-59;NS;NS; 1.0728546624499E-92
75;84;2976;6294;2975;6293;2973;6277;^PP621679_Thailand_2019;PP621681_Thailand_2019;Unknown (AB647326_Japan_2010); 7.78791132982374E-83; 8.14966638114976E-74; 2.24162168128889E-84; 3.17574070324821E-40; 6.92882417235055E-25; 6.28490073863344E-71;NS;NS; 1.59068440856048E-107
76;87;4802; 6146*;4802; 6146*;4789; 6133*;^FJ859064_China_Poliovirus-1;KJ170670_Nigeria_Poliovirus-3;Unknown (OQ286220_United-Kingdom_Poliovirus-3); 2.03219491828978E-58; 3.96117091853771E-55;NS; 7.4538802998504E-30; 4.93698381079061E-25; 5.18568271844279E-28;NS;NS; 4.96132680499634E-73
77;88;52;2361;52;2361;52;2358;^KP266571_China_2002;MH152412_Italy_1998;MZ389224_Spain_2016; 5.37741189054811E-57; 4.80002498097255E-40; 2.40354504754157E-50; 6.72045611194506E-33; 1.0000268494879E-34; 9.23960181828741E-53;NS;NS; 2.69457039482606E-69
78;89;4260;6299;4260;6299;4257;6282;MF678296_Australia_2007;KR107057_India_2010;OQ791514_USA_2009; 5.43910155371882E-58; 2.05363922667611E-42; 4.45992085862368E-56; 7.39706734017734E-31; 2.05974892897842E-35; 3.77050287909801E-36;NS;NS; 1.18254992934185E-87
79;90;6294;2382;6291;2379;6277;2379;^KP266568_China_2009;PP887984_Hungary_2023;Unknown (MF678347_Australia_2007); 1.02584975879753E-58; 3.74277219928063E-40; 1.46673371821228E-49; 1.58055357534644E-32; 6.97979343872896E-25; 5.20761232375983E-53;NS;NS; 5.0242535837239E-47
80;91;4368;6302;4368;6302;4365;6285;^PP621605_Thailand_2023;Unknown (MZ389229_Spain_2015);OQ969171_France_2023; 6.35993139649404E-80;NS; 7.82701982116329E-71; 2.19330588632422E-34; 7.9999811300874E-29; 1.40674213011213E-20;NS;NS; 6.31566147306742E-106
81;92;6292;2930;6290;2928;6275;2927;^PP621681_Thailand_2019;AB647326_Japan_2010;PP621655_Thailand_2019; 2.14856125354947E-58; 4.42234896841561E-53; 1.50854642927289E-55; 9.06709447546979E-39; 2.59966603818636E-29; 6.2268904236389E-68;NS;NS; 7.09584838009946E-61
82;93;6302;2602;6302;2602;6285;2599;ON646273_China_2022;JX678886_China_2002;LC506515_Japan_2007; 1.05928604793696E-54; 9.41667975773566E-57; 1.2189777553215E-56; 1.69266475260886E-31; 2.77727694992047E-22; 1.19117925815799E-61;NS;NS; 3.26180948917454E-08
83;94;6302;2520;6302;2520;6285;2517;^MF678337_Australia_2005;MH152412_Italy_1998;Unknown (HM775882_South-Korea_2006); 3.22562712131258E-56; 1.34725448123743E-45; 1.47953684403829E-48; 1.04168006062489E-33; 1.09105343344946E-24; 4.76041522649553E-57;NS;NS; 1.27705743901327E-40
84;96;6299;2427;6293;2421;6282;2424;^JN596587_China_2010;MH752986_USA_2004;MW481634_China_2019; 5.95115724047831E-53; 1.82824359227116E-44; 4.08806546936668E-42; 4.81061427751814E-30; 1.44442245632496E-20; 3.72971456727007E-58;NS;NS; 3.41208898736479E-38
85;97;5312; 6305*;5312; 6305*;5299; 6288*;MZ150563_China_Poliovirus-2;OQ286211_United-Kingdom_Poliovirus-1;KX162717_Nigeria_Poliovirus-2; 3.15559860506448E-54; 6.63254730280117E-48; 1.81623935945125E-53; 3.68761803963986E-17; 5.72819515017788E-15; 1.72692388001158E-20;NS;NS; 5.43706738382597E-72
86;98;5622; 6305*;5622; 6305*;5609; 6288*;ON596438_Nigeria_Poliovirus-2;KJ170530_Nigeria_Poliovirus-1;KJ170575_Nigeria_Poliovirus-2; 1.71028798983707E-53; 1.49468243113966E-50; 1.13911989686598E-52; 3.30461878789688E-12; 2.16198834745496E-11; 7.06655719848341E-14;NS;NS; 1.62698802500592E-54
