Event#,Sequence,Designation, ConsensusConsensus,Parsimony O,Conflict,SubPhPr,TreeSubDist,OuCheck,TreeSubPhPr,TreePhPr,PhPr,TrpScore,dMax(VisRD),DistRank,O:E,SubDist,Parsimony I,SetDistT,SetDistP,O:E Dist,
 6,KJ170670_Nigeria_Poliovirus-3,MajorParent, 6.08767786500461, 10, 5, 0, 5, 0, 4, 14, 0, 4, 3.3922211723022, 0, 0, 1, 10, 2.5, 0, 15,
 6,MG212459_Russia_Poliovirus-2,MinorParent, 1.84168381314538, 0, 0, 5, 0, 0, 0, 0, 4, 0, 4.8417218187619, 0, 2, 0, 0, 0, 0, 0,
 7,MG212479_Russia_Poliovirus-1,Recombinant, 18.4515190996658, 20, 5, 10, 10, 0, 4, 14, 8, 8, 12.2829188616077, 0, 4, 2, 20, 5, 5, 15,
 7,PP506140_Tunisia_Poliovirus-1,MajorParent, 5.71084146856155, 10, 10, 0, 0, 0, 0, 0, 0, 4, 3.96504090589971, 0, 0, 0, 10, 0, 0, 20,
 7,KX162717_Nigeria_Poliovirus-2,MinorParent, 5.83763943177267, 0, 0, 5, 5, 10, 8, 18, 4, 0, 3.75204023249261, .204520990312164, 2, 1, 0, 2.5, 5, 0,
 8,OQ451883_China_Poliovirus-3,Recombinant, 29.0487443599032, 20, 10, 10, 10, 0, 8, 18, 8, 8, 11.8959118919288, 0, 2, 2, 20, 5, 0, 15,
 8,KJ170677_Nigeria_Poliovirus-3,MajorParent, .951255640096804, 10, 0, 5, 5, 0, 0, 0, 4, 4, 3.91578646682381, .763440860215054, 0, 0, 10, 2.5, 0, 20,
 8,KJ170530_Nigeria_Poliovirus-1,MinorParent, 0, 0, 5, 0, 0, 10, 4, 14, 0, 0, 4.18830164124743, 0, 4, 1, 0, 0, 0, 0,
 9,MG212472_Russia_Poliovirus-1,Recombinant, 21.437710993206, 20, 10, 10, 10, 10, 8, 18, 8, 8, 11.7493330708493, 0, 4, 2, 20, 5, 5, 15,
 9,KJ170531_Nigeria_Poliovirus-1,MajorParent, 4.98006413226912, 10, 10, 0, 5, 0, 0, 0, 0, 4, 4.0177471409352, 0, 0, 0, 10, 0, 0, 20,
 9,KX162717_Nigeria_Poliovirus-2,MinorParent, 3.58222487452493, 0, 0, 5, 0, 0, 4, 14, 4, 0, 4.23291978821549, .268528464017186, 2, 1, 0, 2.5, 5, 0,
 10,OP137283_Israel_Poliovirus-3,Recombinant, 18.4596555857469, 20, 10, 10, 10, 0, 4, 14, 8, 4, 9.71228566674845, 0, 2, 2, 20, 2.5, 5, 20,
 10,HQ738302_Madagascar_Enterovirus-C,MajorParent, 6.69897932419413, 10, 5, 0, 5, 0, 8, 18, 0, 8, 5.76164703250567, 1.13733905579399, 0, 1, 0, 0, 0, 0,
 10,ON596438_Nigeria_Poliovirus-2,MinorParent, 4.841365090059, 0, 0, 5, 0, 10, 0, 0, 4, 0, 4.52606730074588, 2.14592274678112E-02, 4, 0, 0, 5, 5, 15,
 11,OP137278_Israel_Poliovirus-3,Recombinant, 21.7677227967307, 20, 10, 10, 10, 10, 8, 18, 8, 8, 13.3380629830027, 0, 4, 2, 20, 5, 0, 15,
 11,KJ170675_Nigeria_Poliovirus-3,MajorParent, 3.58579989745967, 0, 0, 0, 5, 0, 0, 0, 0, 4, 3.0793021729186, 0, 0, 1, 10, 2.5, 0, 20,
 11,KX162717_Nigeria_Poliovirus-2,MinorParent, 4.6464773058096, 10, 5, 5, 0, 0, 4, 14, 4, 0, 3.58263484407866, 0, 2, 0, 0, 0, 0, 0,
 12,OP137273_Israel_Poliovirus-3,Recombinant, 22.0102268834372, 20, 10, 10, 10, 10, 8, 18, 8, 8, 12.4140297503242, 0, 4, 2, 20, 5, 0, 15,
 12,KJ170675_Nigeria_Poliovirus-3,MajorParent, 5.04981385095629, 10, 0, 0, 5, 0, 0, 0, 0, 4, 3.80542443816261, 0, 0, 1, 10, 2.5, 0, 20,
 12,KX162717_Nigeria_Poliovirus-2,MinorParent, 2.93995926560656, 0, 5, 5, 0, 0, 4, 14, 4, 0, 3.78054581151315, 0, 2, 0, 0, 0, 0, 0,
 13,ON596439_Nigeria_Poliovirus-2,Recombinant, 21.933709936287, 20, 10, 10, 10, 10, 8, 18, 8, 8, 10.2164841123147, 2.13675213675214, 4, 2, 20, 5, 0, 20,
 13,JX275071_Nigeria_Poliovirus-2,MajorParent, 5.85997869984387, 0, 0, 5, 5, 0, 4, 14, 4, 4, 6.81542561989986, 3.9957264957265, 0, 1, 0, 2.5, 0, 15,
 13,MK028134_China_Poliovirus-3,MinorParent, 2.20631136386911, 10, 5, 0, 0, 0, 0, 0, 0, 0, 2.96809026778548, 8.54700854700855E-02, 2, 0, 10, 0, 0, 0,
 14,MG212468_Georgia_Poliovirus-3,Recombinant, 22.067111755217, 20, 10, 10, 10, 10, 8, 18, 8, 8, 10.4039999890755, 0, 4, 2, 20, 5, 5, 20,
 14,PP579970_China_Poliovirus-3,MajorParent, 4.6765562829404, 10, 5, 5, 0, 0, 0, 0, 4, 4, 4.70245464909893, .650319829424307, 0, 1, 10, 0, 0, 15,
 14,MG212457_Russia_Poliovirus-2,MinorParent, 3.25633196184257, 0, 0, 0, 5, 0, 4, 14, 0, 0, 4.89354536182552, 0, 2, 0, 0, 2.5, 5, 0,
 15,MT241239_Singapore_2013,Recombinant, 12.5641358542341, 20, 10, 10, 5, 0, 4, 0, 8, 0, 6.62000156284816, .255591054313099, 4, 2, 20, 5, 5, 20,
 15,KC296444_Viet-Nam_2011,MajorParent, 6.52277415545272, 0, 0, 0, 10, 10, 8, 14, 0, 8, 6.2932867037539, .905218317358892, 0, 1, 0, 0, 0, 15,
 15,MT241238_Singapore_2013,MinorParent, 10.9130899903132, 20, 10, 5, 0, 0, 0, 18, 4, 4, 7.08671173339793, .298189563365282, 2, 0, 20, 2.5, 5, 0,
 16,PP579970_China_Poliovirus-3,Recombinant, 20.4737404222216, 20, 10, 10, 10, 0, 8, 18, 8, 8, 10.7275817437766, .723404255319149, 2, 2, 20, 5, 0, 20,
 16,KJ170675_Nigeria_Poliovirus-3,MajorParent, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 4.37303565101498, .765957446808511, 0, 0, 0, 2.5, 0, 15,
 16,KJ170530_Nigeria_Poliovirus-1,MinorParent, 9.52625957777841, 20, 0, 5, 0, 10, 4, 14, 4, 0, 4.89938260520846, 0, 4, 1, 10, 0, 0, 0,
 18,MG212457_Russia_Poliovirus-2,Recombinant, 21.8280615811014, 20, 10, 10, 10, 10, 8, 18, 8, 8, 9.0208968927971, 1.04430379746835, 4, 2, 20, 5, 0, 20,
 18,MG212446_Russia_Poliovirus-2,MajorParent, 6.78639611157458, 0, 0, 5, 5, 0, 4, 14, 4, 4, 7.29938266265229, 2.10970464135021, 0, 1, 10, 2.5, 0, 15,
 18,KJ170670_Nigeria_Poliovirus-3,MinorParent, 1.38554230732406, 10, 5, 0, 0, 0, 0, 0, 0, 0, 3.67972044455061, 0, 2, 0, 0, 0, 0, 0,
 19,KX162690_Chad_Poliovirus-2,Recombinant, 18.1370175003197, 20, 10, 10, 10, 0, 4, 14, 8, 8, 9.13640012835186, 0, 0, 2, 20, 5, 5, 15,
 19,KX162682_Central-African,MajorParent, 6.92774077143007, 10, 5, 5, 0, 10, 0, 0, 4, 4, 4.62581575382522, .89662447257384, 4, 1, 10, 0, 0, 20,
 19,JX275071_Nigeria_Poliovirus-2,MinorParent, 4.9352417282502, 0, 0, 0, 5, 0, 8, 18, 0, 0, 6.23778411782292, 0, 2, 0, 0, 2.5, 5, 0,
 20,OP137280_Israel_Sabin-likePoliovirus3,Recombinant, 14.7276555157647, 20, 10, 10, 0, 0, 0, 0, 8, 0, 8.61209579875311, 0, 2, 2, 20, 0, 0, 0,
 20,MG212486_Russia_Poliovirus-2,MajorParent, 3.94064704560514, 0, 0, 5, 0, 0, 0, 0, 4, 4, 5.43407930800034, 0, 0, 0, 0, 2.5, 0, 15,
 20,MG212474_Russia_Poliovirus-3,MinorParent, 11.3316974386301, 10, 5, 0, 0, 10, 0, 0, 0, 8, 5.95382489324655, 1.46469968387777, 4, 1, 10, 5, 0, 20,
 21,KX162713_Nigeria_Poliovirus-2,Recombinant, 19.1812489671183, 20, 0, 10, 5, 5, 8, 18, 8, 0, 9.11467839342639, 0, 4, 2, 20, 5, 0, 0,
 21,OP137281_Israel_Poliovirus-3,MajorParent, 3.86734914137493, 0, 0, 0, 0, 5, 0, 0, 0, 4, 6.5971282631223, 2.95789473684211, 0, 1, 10, 2.5, 0, 20,
 21,ON596437_Nigeria_Poliovirus-2,MinorParent, 6.95140189150677, 20, 10, 5, 10, 5, 4, 14, 4, 8, 4.28819334345131, .957894736842105, 2, 0, 0, 0, 0, 15,
 22,JX275038_Nigeria_Poliovirus-2,Recombinant, 17.0804822354117, 20, 0, 10, 10, 5, 8, 18, 8, 0, 9.27106620342673, 0, 2, 2, 20, 0, 0, 0,
 22,OP137281_Israel_Poliovirus-3,MajorParent, 12.9195177645883, 0, 10, 0, 0, 5, 4, 14, 0, 8, 6.30459067692738, 3.10199789695058, 4, 1, 10, 2.5, 0, 20,
 22,MZ245455_USA_Poliovirus-2,MinorParent, 0, 10, 0, 5, 5, 5, 0, 0, 4, 4, 4.42434311964589, 1.03049421661409, 0, 0, 0, 5, 0, 15,
 23,JX275015_Nigeria_Poliovirus-2,Recombinant, 15.2930427540535, 10, 10, 10, 5, 5, 8, 18, 8, 0, 9.93134119958974, 0, 4, 2, 10, 5, 0, 0,
 23,OP137281_Israel_Poliovirus-3,MajorParent, 8.60333941354457, 20, 10, 0, 0, 0, 0, 0, 0, 4, 6.22055563393284, 2.46848739495798, 0, 1, 20, 2.5, 0, 20,
 23,KJ170573_Nigeria_Poliovirus-2,MinorParent, 6.1036178324019, 0, 0, 5, 10, 5, 4, 14, 4, 8, 3.84810316647743, 1.29201680672269, 2, 0, 0, 0, 0, 15,
 24,PP621606_Nepal_2023,Recombinant, 20.0018813974676, 20, 5, 10, 10, 10, 8, 18, 8, 8, 6.68356788725021, .314795383001049, 4, 2, 20, 5, 5, 0,
 24,MT241238_Singapore_2013,MajorParent, 2.25455396817745, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6.25340981412743, 0, 0, 0, 0, 0, 0, 15,
 24,KC296444_Viet-Nam_2011,MinorParent, 7.743564634355, 10, 10, 5, 5, 0, 4, 14, 4, 0, 7.06302229862237, 0, 2, 1, 0, 2.5, 0, 20,
 25,MG212486_Russia_Poliovirus-2,Recombinant, 21.1605538647447, 20, 10, 10, 10, 10, 8, 18, 8, 8, 9.99369354681851, 1.9202518363064, 4, 2, 20, 5, 0, 15,
 25,MG212459_Russia_Poliovirus-2,MajorParent, 6.20453397944247, 0, 0, 5, 5, 0, 4, 14, 4, 4, 6.74873186393105, 1.95173137460651, 0, 1, 0, 2.5, 0, 20,
 25,KJ170675_Nigeria_Poliovirus-3,MinorParent, 2.63491215581281, 10, 10, 0, 0, 0, 0, 0, 0, 0, 3.25757458925044, 0, 2, 0, 10, 0, 0, 0,
 26,OP137281_Israel_Poliovirus-3,Recombinant, 15.3425386502805, 0, 10, 0, 5, 5, 4, 14, 0, 8, 6.25624112455241, 3.08499475341028, 4, 1, 20, 0, 0, 20,
 26,MZ245455_USA_Poliovirus-2,MajorParent, 1.43453141437708, 20, 0, 5, 10, 5, 0, 0, 4, 4, 4.99598818185895, .986358866736621, 0, 0, 0, 2.5, 5, 15,
 26,JX275052_Nigeria_Poliovirus-2,MinorParent, 13.2229299353424, 0, 10, 10, 0, 5, 8, 18, 8, 0, 8.74777069358863, 0, 2, 2, 10, 5, 5, 0,
 27,OQ842459_USA_2017,Recombinant, 19.2956496072091, 20, 10, 10, 0, 0, 8, 18, 8, 8, 7.71460991797841, 0, 2, 2, 20, 5, 5, 15,
 27,OP207965_USA_2016,MajorParent, 6.3245613144911, 0, 0, 0, 10, 10, 4, 14, 0, 4, 6.41067155174542, .338461538461538, 0, 0, 0, 0, 0, 20,
 27,MZ389229_Spain_2015,MinorParent, 4.3797890782998, 10, 0, 5, 5, 0, 0, 0, 4, 0, 5.87471853027617, 0, 4, 1, 10, 2.5, 5, 0,
 28,MZ229657_China_2019,Recombinant, 16.457928137378, 20, 10, 10, 0, 0, 8, 18, 8, 0, 7.53394664017889, 2.01844262295082, 4, 2, 20, 0, 0, 20,
 28,KP266568_China_2009,MajorParent, 4.87669006712536, 0, 0, 5, 5, 0, 4, 14, 4, 8, 5.1239675370308, 0, 0, 1, 0, 5, 5, 0,
 28,OP441393_China_2018,MinorParent, 8.66538179549669, 10, 5, 0, 10, 10, 0, 0, 0, 4, 7.34208582279031, 1.93647540983607, 2, 0, 10, 2.5, 0, 15,
 29,MN808792_China_2019,Recombinant, 21.9587099630759, 20, 10, 10, 10, 10, 8, 18, 8, 8, 7.83961608829638, 0, 4, 1, 20, 5, 0, 20,
 29,MN815811_China_2018,MajorParent, .846777205209833, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5.94156583808964, 1.15660184237462, 0, 2, 0, 2.5, 0, 0,
 29,OP441393_China_2018,MinorParent, 7.19451283171426, 10, 5, 5, 5, 0, 4, 14, 4, 0, 6.21881807361398, 0, 2, 0, 10, 0, 0, 15,
 30,MN808792_China_2019,Recombinant, 18.808465044695, 20, 10, 10, 0, 0, 8, 14, 8, 8, 8.7711760295385, 4.09416581371546E-02, 4, 2, 20, 5, 0, 20,
 30,MN815811_China_2018,MajorParent, 3.32494891534358, 0, 0, 0, 5, 0, 0, 0, 0, 4, 5.69407333818011, 1.05424769703173, 0, 1, 0, 2.5, 0, 15,
 30,OQ791573_USA_2018,MinorParent, 7.86658603996141, 10, 10, 5, 10, 10, 4, 18, 4, 0, 5.53475063228139, .327533265097236, 2, 0, 0, 0, 0, 0,
 31,HQ738289_Madagascar_Enterovirus-C,Recombinant, 16.3437548538915, 20, 10, 5, 5, 0, 4, 18, 8, 4, 8.92542175661707, 0, 0, 2, 20, 0, 0, 15,
 31,FM955278_Madagascar_Coxsackievirus-A17,MajorParent, 13.6562451461085, 10, 5, 10, 0, 10, 8, 14, 4, 8, 6.23115197240462, .60388945752303, 4, 1, 10, 5, 5, 20,
 31,JX275085_Nigeria_Poliovirus-2,MinorParent, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4.84342627097831, 1.10542476970317, 2, 0, 0, 2.5, 0, 0,
 32,HQ998851_China_2010,Recombinant, 17.0703626688317, 20, 10, 10, 5, 0, 4, 14, 8, 8, 7.7289997542256, 0, 2, 1, 20, 5, 0, 15,
 32,KP266576_China_2010,MajorParent, 5.46231959257958, 0, 0, 0, 10, 10, 0, 0, 0, 4, 6.21138406839299, .614124872057318, 0, 0, 0, 2.5, 0, 20,
 32,KF311743_China_2011,MinorParent, 7.46731773858875, 10, 10, 5, 0, 0, 8, 18, 4, 0, 6.05961617738141, 3.07062436028659E-02, 4, 2, 10, 0, 0, 0,
 33,KM388538_China_2012,Recombinant, 18.0853169392227, 20, 10, 5, 10, 10, 4, 14, 8, 8, 7.05174744323987, .438328236493374, 2, 0, 20, 2.5, 0, 20,
 33,JX976773_China_2010,MajorParent, 4.17736529479732, 0, 0, 10, 5, 0, 0, 0, 4, 4, 6.70403019305993, 7.13557594291539E-02, 0, 2, 0, 5, 5, 0,
 33,MK791150_China_2018,MinorParent, 7.73731776597999, 20, 10, 0, 0, 0, 8, 18, 0, 0, 6.2442223637002, 0, 4, 1, 0, 0, 0, 15,
 34,MH785183_Nigeria_Coxsackievirus-A20,Recombinant, 18.0829560862518, 20, 10, 10, 0, 10, 8, 18, 8, 8, 5.83909637741137, .193679918450561, 2, 1, 20, 5, 5, 15,
 34,JX275032_Nigeria_Poliovirus-2,MajorParent, 11.9170439137482, 10, 0, 5, 5, 0, 4, 14, 4, 4, 8.33174821850822, 0, 0, 2, 10, 0, 0, 20,
 34,OP410415_United-Kingdom_Poliovirus-2,MinorParent, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 5.82915540408041, 0, 4, 0, 0, 2.5, 0, 0,
 37,PP461538_Thailand_2023,Recombinant, 17.4517885973926, 20, 10, 10, 5, 0, 8, 14, 8, 4, 6.90975996483832, 0, 4, 1, 20, 2.5, 5, 20,
 37,PP861087_Hungary_2023,MajorParent, 8.37482620507325, 0, 0, 5, 10, 10, 4, 18, 4, 8, 6.81707287895687, 5.03524672708963E-02, 0, 0, 0, 0, 0, 15,
 37,PP621655_Thailand_2019,MinorParent, 4.17338519753418, 10, 5, 0, 0, 0, 0, 0, 0, 0, 6.27316715620481, 0, 2, 2, 10, 5, 5, 0,
 38,HM807310_Taiwan_2005,Recombinant, 15.0724127786864, 20, 10, 5, 10, 0, 4, 14, 4, 8, 9.59360887169644, 1.7907444668008, 4, 2, 20, 5, 0, 20,
 38,KC436266_Hong-Kong_2005,MajorParent, 1.83999194378311, 0, 0, 0, 5, 10, 0, 0, 0, 4, 4.93590614507329, .714285714285714, 0, 0, 0, 2.5, 0, 0,
 38,KF501389_China_2010,MinorParent, 13.0875952775305, 20, 10, 10, 0, 0, 8, 18, 8, 0, 5.47048498323026, .261569416498994, 2, 1, 20, 0, 0, 15,
 39,JX274980_Nigeria_Poliovirus-2,Recombinant, 22.2055876904129, 20, 10, 10, 5, 10, 8, 18, 8, 4, 9.68578377595509, 0, 2, 2, 20, 5, 0, 20,
 39,OP137313_Israel_Poliovirus-3,MajorParent, 3.54775066829435, 0, 0, 5, 0, 0, 0, 0, 4, 8, 4.91837750513864, .321931589537223, 0, 1, 0, 2.5, 0, 15,
 39,MG212459_Russia_Poliovirus-2,MinorParent, 4.24666164129278, 10, 5, 0, 10, 0, 4, 14, 0, 0, 5.39583871890627, 0, 4, 0, 10, 0, 0, 0,
 40,JX275122_Nigeria_Poliovirus-2,Recombinant, 17.5994010289972, 20, 10, 10, 10, 0, 8, 18, 8, 4, 8.84427070535321, .140845070422535, 0, 2, 10, 2.5, 5, 15,
 40,KY941931_Ethiopia_Poliovirus-1,MajorParent, 12.4005989710028, 10, 0, 5, 0, 10, 4, 14, 4, 8, 5.30172663260918, .120724346076459, 2, 1, 20, 0, 0, 20,
 40,MG212459_Russia_Poliovirus-2,MinorParent, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5.85400266203761, 0, 4, 0, 0, 5, 5, 0,
 42,KY941934_Pakistan_Poliovirus-3,Recombinant, 10.210215279573, 0, 1, 10, 10, 10, 4, 14, 8, 8, 5.81836216830643, 5.98205383848455E-02, 4, 1, 0, 2.5, 0, 15,
 42,KC880369_Tajikistan_Poliovirus-1,MajorParent, 10.1975170301008, 20, 1, 5, 5, 0, 0, 0, 4, 4, 7.20852231037206, .109670987038883, 0, 2, 20, 5, 0, 0,
 42,KC880371_Kazakhstan_Poliovirus-1,MinorParent, 9.59226769032619, 10, 1, 0, 0, 0, 8, 18, 0, 0, 6.97311552132151, 0, 4, 0, 10, 0, 0, 20,
 44,OR095792_China_2020,Recombinant, 11.7770677072234, 20, 10, 0, 0, 10, 0, 0, 0, 4, 7.03723722831725, 3.98406374501992E-02, 4, 2, 10, 2.5, 5, 20,
 44,MK791150_China_2018,MajorParent, 8.72128890557933, 0, 0, 10, 10, 0, 8, 18, 8, 8, 6.52108239163019, 5.97609561752988E-02, 0, 0, 0, 0, 0, 0,
 44,MG720258_China_2015,MinorParent, 9.5016433871973, 10, 5, 5, 5, 0, 4, 14, 4, 0, 6.44168038005256, 0, 2, 1, 20, 5, 5, 15,
 45,PP861087_Hungary_2023,Recombinant, 14.4896114102004, 20, 10, 10, 10, 10, 8, 18, 8, 0, 6.38903769380132, 0, 4, 2, 20, 5, 0, 0,
 45,MF678341_Australia_2008,MajorParent, 3.97649987227304, 0, 0, 0, 5, 0, 4, 14, 0, 4, 6.16347353326877, .229083665338645, 0, 0, 0, 2.5, 0, 15,
 45,OQ791573_USA_2018,MinorParent, 11.5338887175266, 20, 10, 5, 0, 0, 0, 0, 4, 8, 7.44748877292991, 0, 2, 1, 20, 0, 0, 20,
 47,FJ357838_China_2008,Recombinant, 12.9549884394583, 10, 0, 10, 10, 10, 8, 18, 8, 0, 6.01563844077246, 0, 4, 1, 10, 0, 0, 15,
 47,JX017381_China_2011,MajorParent, 4.13987917997661, 0, 0, 0, 5, 0, 4, 14, 0, 8, 6.44983408677428, 0, 0, 0, 0, 2.5, 0, 0,
 47,KP266578_China_2009,MinorParent, 12.9051323805651, 20, 10, 5, 0, 0, 0, 0, 4, 4, 7.53452747245326, 0, 2, 2, 20, 5, 0, 20,
 50,MG720258_China_2015,Recombinant, 14.1808219949371, 10, 5, 5, 10, 10, 8, 18, 4, 0, 7.98146191865326, 0, 4, 0, 10, 2.5, 0, 15,
 50,JN596587_China_2010,MajorParent, 6.36765675581961, 0, 0, 10, 5, 0, 4, 14, 8, 8, 5.38661156768932, 1.65674603174603, 0, 1, 0, 5, 5, 0,
 50,MN815811_China_2018,MinorParent, 9.45152124924331, 20, 10, 0, 0, 0, 0, 0, 0, 4, 6.63192651365742, 0, 2, 2, 20, 0, 0, 20,
 51,AM884185_Madagascar_Poliovirus-2,Recombinant, 16.2850486108983, 20, 10, 10, 0, 0, 0, 0, 8, 8, 7.62345682706868, .406342913776016, 2, 2, 20, 2.5, 0, 0,
 51,FM955278_Madagascar_Coxsackievirus-A17,MajorParent, 8.88041354543493, 10, 0, 5, 0, 10, 0, 0, 4, 4, 5.23117740742507, .624380574826561, 4, 1, 0, 5, 5, 20,
 51,KX162716_Nigeria_Poliovirus-2,MinorParent, 4.83453784366676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14536576550625, 0, 0, 0, 10, 0, 0, 15,
 52,JX275328_Nigeria_Poliovirus-2,Recombinant, 15.1315545403661, 0, 1, 10, 0, 0, 0, 0, 8, 4, 7.78080651872447, 0, 2, 2, 20, 2.5, 0, 15,
 52,KY941933_Nigeria_Poliovirus-3,MajorParent, 14.8684454596339, 20, 1, 5, 0, 10, 0, 0, 4, 8, 6.34367943681062, .168483647175421, 0, 1, 10, 5, 5, 20,
 52,MG212459_Russia_Poliovirus-2,MinorParent, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5.87551404446491, 0, 4, 0, 0, 0, 0, 0,
 53,KM890278_China_2009,Recombinant, 16.8401964381272, 20, 10, 0, 10, 10, 8, 14, 0, 8, 7.54139265969988, 0, 4, 0, 20, 0, 0, 20,
 53,JX976773_China_2010,MajorParent, 3.75671051928596, 0, 0, 10, 5, 0, 0, 0, 8, 4, 5.38284861051452, 0, 0, 2, 0, 5, 5, 0,
 53,KP289437_China_2013,MinorParent, 9.40309304258686, 20, 5, 5, 0, 0, 4, 18, 4, 0, 7.0757587297856, 3.96432111000991E-02, 2, 1, 10, 2.5, 0, 15,
 54,MG013988_Senegal_2015,Recombinant, 12.0524416234667, 20, 10, 5, 5, 0, 8, 18, 4, 4, 6.77110058414248, 0, 0, 0, 20, 2.5, 0, 0,
 54,LK021688_Madagascar_2011,MajorParent, 8.05220479700786, 0, 0, 10, 0, 10, 4, 0, 8, 8, 6.33563975978729, 0, 4, 2, 0, 5, 5, 15,
 54,HQ424436_Greece_2010,MinorParent, 9.89535357952544, 10, 0, 0, 10, 0, 0, 14, 0, 0, 6.89325965607023, 0, 2, 1, 10, 0, 0, 20,
 55,MG720260_China_2015,Recombinant, 17.6869597914556, 20, 10, 10, 5, 10, 0, 0, 8, 8, 7.5226418832742, .858835143139191, 4, 2, 20, 0, 0, 20,
 55,MZ540960_China_2018,MajorParent, 4.99113756701189, 0, 0, 5, 0, 0, 4, 14, 4, 4, 6.16004630517066, 1.40177690029615, 0, 1, 0, 2.5, 0, 15,
 55,MF678301_Australia_2008,MinorParent, 7.32190264153253, 10, 5, 0, 10, 0, 8, 18, 0, 0, 6.31731181155513, 1.0365251727542, 2, 0, 10, 5, 0, 0,
 56,MG212446_Russia_Poliovirus-2,Recombinant, 23.9869430080612, 20, 10, 10, 10, 10, 8, 18, 8, 8, 12.5818192296657, 0, 4, 2, 20, 5, 0, 15,
 56,KR259357_India_Poliovirus-2,MajorParent, 6.01305699193881, 10, 0, 5, 0, 0, 4, 14, 4, 4, 3.37841423903143, 0, 0, 0, 10, 2.5, 0, 20,
